icao,iata,name,callsign,country,active
GNL,,135 Airways,GENERAL,United States,N
RNX,1T,1Time Airline,NEXTIME,South Africa,Y
WYT,,2 Sqn No 1 Elementary Flying Training School,,United Kingdom,N
TFU,,213 Flight Unit,,Russia,N
CHD,,223 Flight Unit State Airline,CHKALOVSK-AVIA,Russia,N
TTF,,224th Flight Unit,CARGO UNIT,Russia,N
TWF,,247 Jet Ltd,CLOUD RUNNER,United Kingdom,N
SEC,,3D Aviation,SECUREX,United States,N
MLA,Q5,40-Mile Air,MILE-AIR,United States,Y
QRT,,4D Air,QUARTET,Thailand,N
THD,,611897 Alberta Limited,DONUT,Canada,N
AAA,AN,Ansett Australia,ANSETT,Australia,Y
AAB,W9,Abelag Aviation,ABG,Belgium,N
AAC,,Army Air Corps,ARMYAIR,United Kingdom,N
AAD,,Aero Aviation Centre Ltd.,SUNRISE,Canada,N
SII,,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico,N
BZS,,Aero Biniza,BINIZA,Mexico,N
ABM,,Aero Albatros,ALBATROS ESPANA,Spain,N
AAF,ZI,Aigle Azur,AIGLE AZUR,France,Y
AAH,AQ,Aloha Airlines,ALOHA,United States,Y
AAK,,Alaska Island Air,ALASKA ISLAND,United States,N
AAL,AA,American Airlines,AMERICAN,United States,Y
AAM,,Aviation Management Corporation,AM CORP,United States,N
AAO,,Atlantis Airlines (USA),ATLANTIS AIR,United States,N
AAP,,Aerovista Airlines,AEROVISTA GROUP,United Arab Emirates,N
AAR,OZ,Asiana Airlines,ASIANA,Republic of Korea,Y
AAS,4K,Askari Aviation,AL-AAS,Pakistan,Y
AAU,,Australia Asia Airlines,AUSTASIA,Australia,N
AAV,,Astro Air International,ASTRO-PHIL,United States,N
AAW,8U,Afriqiyah Airways,AFRIQIYAH,Libya,Y
AFU,Q9,Afrinat International Airlines,,Gambia,N
AAX,,Afric'air Express,AFREX,Ivory Coast,N
AAY,G4,Allegiant Air,ALLEGIANT,United States,Y
AAZ,,Angus Aviation,ANGUS,Canada,N
ABA,,Artem-Avia,ARTEM-AVIA,Ukraine,N
ABB,,African Business and Transportations,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
ABE,K5,Aban Air,ABAN,Iran,N
ABF,,Aerial Oy,SKYWINGS,Finland,N
ABG,,Abakan-Avia,ABAKAN-AVIA,Russia,N
TUS,M3,ABSA - Aerolinhas Brasileiras,ABSA Cargo,Brazil,Y
ABJ,,Abaet,Abaet,Brazil,N
ABK,,Alberta Citylink,ALBERTA CITYLINK,Canada,N
ABO,,APSA Colombia,AEROEXPRESO,Colombia,N
ABU,,Aerovias Bueno,AEROBUENO,Colombia,N
ACR,,Aerocenter,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
ABV,04,Antrak Air,ANTRAK,Ghana,N
ABX,GB,Airborne Express,ABEX,United States,N
ABX,GB,ABX Air,ABEX,United States,N
ABZ,,ATA Brasil,ATA-BRAZIL,Brazil,N
ACC,,Avcard Services,,United Kingdom,N
ACD,,Academy Airlines,ACADEMY,United States,N
ACO,,Aero Comondu,AERO COMONDU,Mexico,N
ACP,8V,Astral Aviation,ASTRAL CARGO,Kenya,Y
ACS,,Air Cess,,Liberia,N
AAI,,Air Aurora,BOREALIS,United States,N
ACU,,Air Cargo Transportation System,AFRISPIRIT,Kenya,N
ACV,,Air Charter Service,,United Kingdom,N
RSO,E4,Aero Asia International,AERO ASIA,Pakistan,N
ACX,,Air Charters,PARAIR,Canada,N
TGA,YT,Air Togo,AIR TOGO,Togo,N
RSM,,Air Somalia,AIR SOMALIA,Somali Republic,N
ACY,,Atlas Cargo Lines,ATLAS CARGOLINES,Morocco,N
ADA,,Airservices Australia,AUSCAL,Australia,N
ADB,,Antonov Airlines,ANTONOV BUREAU,Ukraine,N
ADC,,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,N
ADD,,Advanced Air Co.,,Japan,N
ADE,ZY,Ada Air,ADA AIR,Albania,Y
ADG,,Aerea Flying Training Organization,AEREA TRAINING,Spain,N
ADI,,Audeli Air,AUDELI,Spain,N
ADJ,,Abicar,ABICAR,Ivory Coast,N
ADK,Z7,ADC Airlines,ADCO,Nigeria,N
ADL,,Aero Dynamics,COTSWOLD,United Kingdom,N
ADM,,Aerolineas Dominicanas,DOMINAIR,Dominican Republic,N
ADN,,Aerodienst GmbH,AERODIENST,Germany,N
ADP,,Aerodiplomatic,AERODIPLOMATIC,Mexico,N
ADY,,Aerodyne,AERODYNE,United States,N
ADQ,,Avion Taxi,AIR DATA,Canada,N
ADR,JP,Adria Airways,ADRIA,Slovenia,Y
ADS,,Aviones de Sonora,SONORAV,Mexico,N
ADT,,Air Dorval,AIR DORVAL,Canada,N
ADU,,Airdeal Oy,AIRDEAL,Finland,N
ADV,,Advance Air Charters,ADVANCE,Canada,N
ADW,,Air Andaman,AIR ANDAMAN,Thailand,N
ADX,,Anderson Aviation,ANDAX,United States,N
AEA,UX,Air Europa,EUROPA,Spain,Y
ASW,,Air Southwest Ltd.,AIRSOUTHWEST,Canada,N
ASX,,Air Special,AIRSPEC,Czech Republic,N
AEB,EM,Aero Benin,AEROBEN,Benin,Y
AEC,,Aerocesar,Aerovias Del Cesar,AEROCESAR,N
AED,,Aerotrans Airlines,,Russia,N
AEE,A3,Aegean Airlines,AEGEAN,Greece,Y
AEG,,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,N
AEI,,Aeroexpreso Interamericano,INTERAM,Colombia,N
AEJ,,Air Express,KHAKI EXPRESS,Tanzania,N
AEK,,Aerocon,AEROCON,Bolivia,N
AEM,,Aero Madrid,AEROMADRID,Spain,N
AEN,,Aeroenlaces Nacionales,,Mexico,N
AEO,,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,N
AEP,,Aerotec,AEROTEC,Spain,N
AAG,KI,Air Atlantique,ATLANTIC,United Kingdom,N
AEL,PE,Air Europe,AIR EUROPE,Italy,Y
AAJ,,Air Alma,AIR ALMA,Canada,N
AEQ,,Air Express,LUNA,Sweden,N
AER,KO,Alaska Central Express,ACE AIR,United States,Y
AES,,ACES Colombia,ACES,Colombia,Y
AET,,Aeronautical Radio of Thailand,AEROTHAI,Thailand,N
AEU,5W,Astraeus,FLYSTAR,United Kingdom,Y
AEV,,Aeroventas,AEROVENTAS,Mexico,N
AEW,VV,Aerosvit Airlines,AEROSVIT,Ukraine,Y
AEX,,Airway Express,AVCO,United States,N
AEY,I9,Air Italy,AIR ITALY,Italy,Y
AEZ,,Aerial Transit Company,AERIAL TRANZ,United States,N
AFA,,Alfa Air,BLUE ALFA,Czech Republic,N
AFB,WK,American Falcon,AMERICAN FALCON,Argentina,N
UTY,QQ,Alliance Airlines,UNITY,Australia,Y
UVS,,Air Universal,UNI-LEONE,Sierra Leone,N
UVT,,Auvia Air,AUVIA,Indonesia,N
AFC,,African West Air,AFRICAN WEST,Senegal,N
AFE,,Airfast Indonesia,AIRFAST,Indonesia,N
AFG,FG,Ariana Afghan Airlines,ARIANA,Afghanistan,Y
AFH,,Air Fecteau,FECTO,Canada,N
AFI,,Africaone,AFRICAWORLD,Uganda,N
AFJ,,Alliance,JAMBO,Uganda,N
AFK,,Africa Air Links,AFRICA LINKS,Sierra Leone,N
AFL,SU,Aeroflot Russian Airlines,AEROFLOT,Russia,Y
AFO,,Aero Empresa Mexicana,AERO EMPRESA,Mexico,N
BON,JA,Air Bosna,AIR BOSNA,Bosnia and Herzegovina,Y
BRF,,Air Bravo,AIR BRAVO,Uganda,N
BRL,,Air Brasd'or,BRASD'OR,Canada,N
BRM,,Air 500,BOOMERANG,Canada,N
AFQ,,Alba Servizi Aerotrasporti,ALBA,Italy,N
AFR,AF,Air France,AIRFRANS,France,Y
ACG,,Air Partner,AIR PARTNER,United Kingdom,N
ACI,SB,Air Caledonie International,AIRCALIN,France,Y
ACM,,Air Caledonia,WEST CAL,Canada,N
AGM,,Air Guam,AIR GUAM,United States,N
AGN,GN,Air Gabon,GOLF NOVEMBER,Gabon,N
AFS,,Air Data,,United Kingdom,N
AFV,,Air Afrique Vacancies,AFRIQUE VACANCE,Ivory Coast,N
MVM,,Air Cargo America,PEGASUS,United States,N
NGO,,Air-Angol,AIR ANGOL,Angola,N
NGP,,Air Nigeria,REGAL EAGLE,Nigeria,N
SNC,2Q,Air Cargo Carriers,NIGHT CARGO,United States,Y
SND,,Air Samarkand,ARSAM,Uzbekistan,N
SNG,V7,Air Senegal International,AIR SENEGAL,Senegal,N
SNY,,Air Sandy,AIR SANDY,Canada,N
NMB,SW,Air Namibia,NAMIBIA,Namibia,Y
NSK,,Air Intersalonika,INTERSALONIKA,Greece,N
NTL,,Air Anatolia,AIR ANATOLIA,Turkey,N
SGA,,Air Saigon,AIR SAIGON,Vietnam,N
AFW,,Afrique Regional Airways,AFRAIR,Ivory Coast,N
AFX,,Airfreight Express,,United Kingdom,N
AFY,,Africa Chartered Services,AFRICA CHARTERED,Nigeria,N
AFZ,,Africa Freight Services,AFREIGHT,Zambia,N
AGA,,Aeronaves Del Centro,,Venezuela,N
AGB,G8,Air Service Gabon,,Gabon,N
AGC,,Arab Agricultural Aviation Company,AGRICO,Egypt,N
AGF,,Atlantic Gulf Airlines,ATLANTIC GULF,United States,N
SLI,5D,Aerolitoral,COSTERA,Mexico,Y
AGG,,Algoma Airways,ALGOMA,Canada,N
AGH,,Altagna,ALTAGNA,France,N
AGO,,Angola Air Charter,ANGOLA CHARTER,Angola,N
AGO,,Angola Air Charter,ANGOLA CHARTER,Angola,N
AGP,,AERFI Group,AIR TARA,Ireland,N
AGQ,,Aerogala,GALASERVICE,Chile,N
AGT,1A,Amadeus Global Travel Distribution,AMADEUS,Spain,N
AGU,,Angara Airlines,SARMA,Russia,N
AGV,7T,Air Glaciers,AIR GLACIERS,Switzerland,Y
AGW,,Aero Gambia,AERO GAMBIA,Gambia,N
AGX,,Aviogenex,GENEX,Serbia,Y
BLR,,Atlantic Coast Airlines,BLUE RIDGE,United States,N
BLZ,,Aero Barloz,AEROLOZ,Mexico,N
PLI,PL,Aeroper,Aeroperu,Peru,Y
BMM,8A,Atlas Blue,ATLAS BLUE,Morocco,Y
BNB,,Aero Banobras,AEROBANOBRAS,Mexico,N
AGY,,Aero Flight Service,FLIGHT GROUP,United States,N
AGZ,,Agrolet-Mci,AGROLET,Slovakia,N
AHA,GD,Air Alpha Greenland,AIR ALPHA,Denmark,N
AHC,,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,N
AHE,,Airport Helicopter Basel,Muller & Co.,AIRPORT HELICOPTER,N
CJE,,Aeroservices Corporate,BIRD JET,France,N
AHF,,Aspen Helicopters,ASPEN,United States,N
AHG,,Aerochago Airlines,AEROCHAGO,Dominican Republic,N
AHH,,Airplanes Holdings,AIRHOLD,Ireland,N
AHK,LD,Air Hong Kong,AIR HONG KONG,Hong Kong,N
AHP,,Aerochiapas,AEROCHIAPAS,Mexico,N
AHR,,Air Adriatic,ADRIATIC,Croatia,N
AHS,,Air Viggi San Raffaele,AIRSAR,Italy,N
AHU,,ABC Air Hungary,ABC HUNGARY,Hungary,N
AHW,HT,Aeromist-Kharkiv,AEROMIST,Ukraine,N
AHY,J2,Azerbaijan Airlines,AZAL,Azerbaijan,Y
AIA,U3,Avies,AVIES,Estonia,Y
AIB,AP,Airbus Industrie,AIRBUS INDUSTRIE,France,N
AIH,,Alpine Air Chile,ALPINE CHILE,Chile,N
AII,,Air Integra,INTEGRA,Canada,N
AIJ,,ABC Aerolineas,ABC AEROLINEAS,Mexico,N
AIK,,African Airlines International Limited,AFRICAN AIRLINES,Kenya,N
AIN,,African International Airways,FLY CARGO,Swaziland,N
AIP,5A,Alpine Air Express,ALPINE AIR,United States,N
AIU,,Alicante Internacional Airlines,ALIA,Spain,N
ABP,,Aba Air,BAIR,Czech Republic,N
ABQ,ED,Airblue,PAKBLUE,Pakistan,Y
THM,,Airmark Aviation,THAI AIRMARK,Thailand,N
AIR,,Airlift International,AIRLIFT,United States,Y
AIT,,Airest,,Estonia,N
BFF,,Air Baffin,AIR BAFFIN,Canada,N
BDM,,Air Bandama,BANDAMA,Ivory Coast,N
BER,AB,Air Berlin,AIR BERLIN,Germany,Y
ABT,,Air Brousse,AIR BROUSSE,Canada,N
ABR,AG,Air Contractors,CONTRACT,Ireland,N
AIL,,Air Illinois,AIR ILLINOIS,United States,N
AIC,AI,Air India Limited,AIRINDIA,India,Y
AIG,,Air Inter Gabon,,Gabon,N
BUB,ZB,Air Bourbon,BOURBON,Reunion,Y
ABD,CC,Air Atlanta Icelandic,ATLANTA,Iceland,Y
AIE,,Air Inuit,AIR INUIT,Canada,N
AIS,,Air Sureste,SURESTE,Spain,N
SBK,RB,Air Srpska,Air Srpska,Bosnia and Herzegovina,N
THT,TN,Air Tahiti Nui,TAHITI AIRLINES,France,Y
AIV,,Airvias S/A Linhas Aereas,AIRVIAS,Brazil,N
BES,W4,Aero Services Executive,BIRD EXPRESS,France,N
AIW,,Atlantic Island Airways,TARTAN,Canada,N
AIX,,Aircruising Australia,CRUISER,Australia,N
AIY,,Aircrew Check and Training Australia,AIRCREW,Australia,N
AIZ,IZ,Arkia Israel Airlines,ARKIA,Israel,Y
AJA,,A J Services,AYJAY SERVICES,United Kingdom,N
AJB,,Aero JBR,AERO JBR,Mexico,N
AJE,,Aero Jet Express,JET EXPRESS,Mexico,N
AJF,,Avia Consult Flugbetriebs,AVIACONSULT,Austria,N
AJI,,Ameristar Jet Charter,AMERISTAR,United States,N
AJJ,,A2 Jet Leasing,ATLANTIC JET,United States,N
AJK,,Allied Air,BAMBI,Nigeria,N
AJM,JM,Air Jamaica,JAMAICA,Jamaica,Y
ADH,AP,Air One,HERON,Italy,Y
RSH,S2,Air Sahara,SAHARA,India,Y
AMC,KM,Air Malta,AIR MALTA,Malta,Y
AJO,,Aeroejecutivo,AEROEXO,Mexico,N
AJP,,Aero Jets Corporativos,AEROJETS,Mexico,N
AJS,,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,N
AJT,M6,Amerijet International,AMERIJET,United States,N
AJU,,Air Jetsul,AIRJETSUL,Portugal,N
AJV,,ANA & JP Express,AYJAY CARGO,Japan,N
AJW,,Alpha Jet International,ALPHAJET,United States,N
AJX,NQ,Air Japan,AIR JAPAN,Japan,Y
AJY,,Ajet,AYJET,Cyprus,N
AKA,,Air Korea Co. Ltd.,,Republic of Korea,Y
LIV,,Air Livonia,LIVONIA,Estonia,N
ABL,,Air BC,AIRCOACH,Canada,N
ABN,,Air Fret Senegal,,Senegal,N
LJA,,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya,N
AKB,,Aktjubavia,KARAB,Kazakhstan,N
AKC,,Arca Aerovias Colombianas Ltda.,ARCA,Colombia,N
AKF,,Anikay Air Company,ANIKAY,Kyrgyzstan,N
AKH,,Akhal,AKHAL,Turkmenistan,N
MNI,,Aeromilenio,AEROMIL,Mexico,N
AKK,,Aklak Air,AKLAK,Canada,N
AKL,4A,Air Kiribati,,Kiribati,Y
AKN,,Alkan Air,ALKAN AIR,Canada,N
AKW,,Angkor Airways,ANGKORWAYS,Cambodia,N
AKX,EH,Air Nippon Network Co. Ltd.,ALFA WING,Japan,N
AKZ,,AK Navigator LLC,ABSOLUTE,Kazakhstan,N
ALB,,Aero Albatros,ALBATROS,Mexico,N
ALD,,Albion Aviation,ALBION,United Kingdom,N
ALE,,Aeroalas Colombia,AEROALAS,Colombia,N
ALF,,Allied Command Europe (Mobile Force),ACEFORCE,Belgium,N
BTS,,Aerotaxis Albatros,AEROLINEAS ALBATROS,Mexico,N
FYS,,American Flyers,AMERICAN FLYERS,United States,N
DFA,,Aero Coach Aviation,AERO COACH,United States,N
CAA,,Atlantic Southeast Airlines,Chandler,United States,N
BVR,,ACM Air Charter,BAVARIAN,Germany,N
ALG,,Air Logistics,AIRLOG,United States,N
ALL,,Aerovallarta,VALLARTA,Mexico,N
ALM,,Air ALM,ANTILLEAN,Netherlands Antilles,N
ALN,,Air Lincoln,CHICAGO LINCOLN,United States,N
AWE,HP,America West Airlines,CACTUS,United States,Y
AWI,ZW,Air Wisconsin,AIR WISCONSIN,United States,Y
TNO,,Aerotransporte de Carga Union,AEROUNION,Mexico,N
TND,,Aero Taxis Cessna,TAXIS CESSNA,Mexico,N
TMP,,Arizona Express Airlines,TEMPE,United States,N
TAK,U9,Tatarstan Airlines,TATARSTAN,Russia,Y
ALO,,Allegheny Commuter Airlines,ALLEGHENY,United States,Y
ALP,,Alpliner AG,ALPINER,Switzerland,N
ALQ,,Altair Aviation (1986),ALTAIR,Canada,N
ALU,,Air Luxor STP,LUXORJET,Sao Tome and Principe,N
ALV,,Alas de Venezuela,ALVEN,Venezuela,N
ALW,,Alas Nacionales,S.A.,ALNACIONAL,N
ALY,,Alyeska Air Service,ALYESKA,United States,N
ALZ,,Alta Flights (Charters) Ltd.,,Canada,N
RSI,,Air Sunshine,AIR SUNSHINE,United States,Y
AMA,,ATMA,ADIK,Kazakhstan,N
AMD,,Aerolineas Medellin,AEROLINEAS MEDELLIN,Colombia,N
AMF,,Ameriflight,AMFLIGHT,United States,N
KLA,TT,Air Lithuania,KAUNAS,Lithuania,N
AMG,,Air Minas Linhas A,AIR MINAS,Brazil,N
AMH,,Alan Mann Helicopters Ltd.,MANN,United Kingdom,N
AMI,,Air Maldives,AIR MALDIVES,Maldives,N
AMJ,,Aviation Amos,AVIATION AMOS,Canada,N
AMK,,Amerer Air,AMER AIR,Austria,N
AML,QM,Air Malawi,MALAWI,Malawi,Y
AMM,,Aeroputul International Marculesti,AEROM,Moldova,N
AMN,,Air Montenegro,MONTENEGRO,Montenegro,N
AMO,,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,N
AMP,,Aero Transporte S.A. (ATSA),ATSA,Peru,N
AMQ,,Aeromedicare Ltd.,LIFELINE,United Kingdom,N
AMR,,Air Specialties Corporation,AIR AM,United States,N
AMS,,Air Muskoka,AIR MUSKOKA,Canada,N
AMT,,ATA Airlines,AMTRAN,United States,Y
AMU,NX,Air Macau,AIR MACAO,Macao,Y
AMV,,AMC Airlines,,Egypt,Y
AMW,ZV,Air Midwest,AIR MIDWEST,United States,N
SEY,HM,Air Seychelles,SEYCHELLES,Seychelles,Y
SFB,,Air Sofia,AIR SOFIA,Bulgaria,N
AMX,AM,AeroMéxico,AEROMEXICO,Mexico,Y
AMY,,Air Ambar,AIR AMBAR,Dominican Republic,N
AMZ,,Amiya Airline,AMIYA AIR,Nigeria,N
ANA,NH,All Nippon Airways,ALL NIPPON,Japan,Y
ANB,,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,N
ANC,,Anglo Cargo,ANGLO,United Kingdom,N
ANE,YW,Air Nostrum,AIR NOSTRUM,Spain,Y
ANG,PX,Air Niugini,NUIGINI,Papua New Guinea,Y
ABY,G9,Air Arabia,ARABIA,United Arab Emirates,Y
ACA,AC,Air Canada,AIR CANADA,Canada,Y
BRP,,Airport Bratsk,AEROBRA,Russia,N
BSB,,Air Wings,ARBAS,Moldova,N
BTI,BT,Air Baltic,AIRBALTIC,Latvia,Y
ANH,,Alajnihah for Air Transport,ALAJNIHAH,Libya,N
ANI,,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,N
ANK,EL,Air Nippon,ANK AIR,Japan,Y
ANM,,Antares Airtransport,Maintenance & Service GmbH,ANTARES,N
ANO,TL,Airnorth,TOPEND,Australia,Y
ANQ,,Aerol,ANTIOQUIA,Colombia,N
ANS,,Andes Lineas Aereas,AEROANDES,Argentina,N
ANT,4N,Air North Charter - Canada,AIR NORTH,Canada,Y
ANV,,Air Nevada,AIR NEVADA,United States,N
AOM,IW,AOM French Airlines,French Lines,France,N
ANW,,Aviacion Del Noroeste,S.A. de C.V.,AVINOR,N
ANZ,NZ,Air New Zealand,NEW ZEALAND,New Zealand,Y
SAP,,Avia Jaynar,TOBOL,Kazakhstan,N
EMS,,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico,N
AOA,,Alcon Servicios Aereos,S.A. de C.V.,ALCON,N
AOC,J6,AVCOM,AERO AVCOM,Russia,N
AOD,,Aero Vodochody,AERO CZECH,Czech Republic,N
AOE,,Air One Executive,,Italy,N
AOF,,Atair Pty Ltd.,ATAIR,South Africa,N
AOG,2D,Aero VIP,AVIP,Argentina,N
MUN,,Aeromundo Ejecutivo,AEROMUNDO,Mexico,N
MUR,,Aerolinea Muri,MURI,Mexico,N
AOI,,Astoria,Inc.,ASTORIA,N
NRO,,Aero Rent JSC,AEROMASTER,Russia,N
NRP,,Aeronord-Grup,AERONORD,Moldova,N
AOK,,Aeroatlantico Colombia,,Colombia,N
AOL,,Angkor Airlines,ANGKOR AIR,Cambodia,N
AON,,Aero Entreprise,AERO ENTERPRISE,France,N
AOO,,As,Opened Joint Stock Company,COMPANY AS,N
AOP,,Aeropiloto,AEROPILOTO,Portugal,N
VIV,,Aeroenlaces Nacionales,AEROENLACES,Mexico,N
VIZ,,Aerovis Airlines,AEROVIZ,Ukraine,N
VJE,,Avjet International (FZE),,United Arab Emirates,N
VGF,,Aerovista Gulf Express,VISTA GULF,United Arab Emirates,N
VGA,6V,Air Vegas,AIR VEGAS,United States,N
VER,,Almaver,ALMAVER,Mexico,N
AOR,,Afro International Ent. Limited,INTER-AFRO,Nigeria,N
SMX,XM,Alitalia Express,ALIEXPRESS,Italy,Y
AOT,OE,Asia Overnight Express,ASIA OVERNIGHT,Philippines,N
AOU,,Air Tractor,AIR TRACTOR,Croatia,N
AOV,,Aero Vision,AEROVISION,France,N
AOX,,Aerotaxi Del Valle,AEROVALLE,Colombia,N
APA,,Air Park Aviation Ltd.,CAN-AM,Canada,N
APC,,Airpac Airlines,Inc.,AIRPAC,N
SVM,,Aeroservicios Monterrey,SERVIMONTE,Mexico,N
APF,,Amapola Flyg AB,AMAPOLA,Sweden,N
APG,,Air People International,AIR PEOPLE,Thailand,N
APH,,Alpha Aviation,Inc.,AIRFLIGHT,N
API,,ASA Pesada,Lda.,ASA PESADA,N
APJ,,Air Print,S.A.,AIR PRINT,N
BJK,,Atlantic Airlines,BLACKJACK,United States,N
PET,,Aerotransporte Petrolero,AEROPETRO,Colombia,N
ARF,GV,Aero Flight,Aero Fox,Germany,Y
BJT,,ACM Aviation,BAY JET,United States,N
BKL,,Aircompany Barcol,BARCOL,Russia,N
BLA,,All Charter Limited,ALL CHARTER,United Kingdom,N
APL,,Appalachian Flying Service,Inc.,APPALACHIAN,N
APM,,Airpac,Inc.,ALASKA PACIFIC,N
APO,,Aeropro,AEROPRO,Canada,N
APP,,Aerolineas Pacifico Atlantico,S.A. (Apair),AEROPERLAS,N
APQ,,Aspen Aviation,ASPEN BASE,United States,N
APU,,Aeropuma,S.A.,AEROPUMA,N
APV,,Air Plan International,AIR PLAN,Democratic Republic of the Congo,N
APW,JW,Arrow Air,BIG A,United States,Y
APX,,Apex Air Cargo,PARCEL EXPRESS,United States,N
APY,,APA Internacional,APA INTERNACIONAL,Dominican Republic,N
AQA,,Aeroatlas,S.A.,ATCO,N
AQL,,Aquila Air Ltd.,AQUILA,Canada,N
AQN,,Air Queensland,BUSHAIR,Australia,N
AQO,,Aluminum Company Of America,ALCOA SHUTTLE,United States,N
AQT,,Aviones de Renta de Quintana Roo,S.A. de C.V.,AVIOQUINTANA,N
AQU,,AirQuarius Aviation,QUARIUS,South Africa,N
AQZ,,Aerodyne Charter Company,QUANZA,United States,N
ARA,W3,Arik Air,ARIK AIR,Nigeria,N
ARB,,Avia Air N.V.,AVIAIR,Aruba,N
ARC,,Air Routing International Corp.,,United States,N
ARD,2B,Aerocondor,AEROCONDOR,Portugal,Y
ARE,4C,Aires,Aerovias de Integracion Regional,S.A.,Y
ARG,AR,Aerolineas Argentinas,ARGENTINA,Argentina,Y
ARH,,Arrowhead Airways,ARROWHEAD,United States,N
ARI,,Aero Vics,AEROVICS,Mexico,N
ARJ,,Aerojet de Costa Rica,S.A.,,N
SUN,,Antillana De Navegacion Aerea,,Dominican Republic,N
SUO,,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico,N
SUP,,Aerosuper,AEROSUPER,Mexico,N
ARK,,Aero Link Air Services S.L.,LINK SERVICE,Spain,N
ARL,,Airlec - Air Aquitaine Transport,AIRLEC,France,N
ARM,,Aeromarket Express,AMEX,Spain,N
ARO,,Arrow Aviation Ltd.,ARROW,Canada,N
ARP,,RPA-Aviataxi Ltd.,,Russia,N
KLD,,Air Klaipeda,AIR KLAIPEDA,Lithuania,N
ARQ,,Armstrong Air,Inc.,ARMSTRONG,N
ARR,QN,Air Armenia,AIR ARMENIA,Armenia,N
ARS,,Aeromet Servicios,METSERVICE,Chile,N
ART,,Aerotal Aerolineas Territoriales de Colombia Ltda,AEROTAL,Colombia,N
ARV,,Aravco Ltd.,ARAVCO,United Kingdom,N
ARW,,Aria,ARIABIRD,France,N
ARX,,Air Xpress,Inc.,AIREX,N
OST,,Airline Alania,ALANIA,Russia,N
HTT,,Air Tchad,HOTEL TANGO,Chad,N
HUC,,Aerloineas de Techuacan,LINEAS TEHUACAN,Mexico,N
HUT,,Aerotransportes Huitzilin,AEROHUITZILIN,Mexico,N
HUY,,Aero Transportes Del Humaya,AERO HUMAYA,Mexico,N
ARY,,Argosy Airways,GOSEY,United States,N
ARZ,,Air Resorts,AIR RESORTS,United States,N
ASA,AS,Alaska Airlines,Inc.,ALASKA,Y
ASB,,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,N
ASC,,Air Star Corporation,AIR STAR,Canada,N
ASD,4D,Air Sinai,AIR SINAI,Egypt,Y
ASE,PL,Airstars,MOROZOV,Russia,N
ASF,,Air Schefferville,Inc.,SCHEFF,N
ASG,,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa,N
ASI,,Aerosun International,Inc.,AEROSUN,N
ASJ,,Air Satellite,SATELLITE,Canada,N
ASM,,Awesome Flight Services (PTY) Ltd.,AWESOME,South Africa,N
ASN,,Air and Sea Transport,,Russia,N
ASO,,Aero Slovakia,AERO NITRA,Slovakia,N
ASP,,Airsprint,AIRSPRINT,Canada,N
ASQ,EV,Atlantic Southeast Airlines,ACEY,United States,Y
ASR,,All Star Airlines,Inc.,ALL STAR,N
ASS,,Air Class,S.A. de C.V.,AIR CLASS,N
AST,,Aerlineas Del Oeste,AEROESTE,Mexico,N
NRE,,Aviones Are,AVIONES ARE,Mexico,N
NPL,,Air Nepal International,AIR NEPAL,Nepal,N
NPR,,Air Napier,,New Zealand,N
WAM,,Air Taxi & Cargo,TAXI CARGO,Sudan,N
WAP,,Arrow Panama,ARROW PANAMA,Panama,N
ASV,,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau,N
ASZ,OB,Astrakhan Airlines,AIR ASTRAKHAN,Russia,Y
ATA,,Air Transport Association,,United States,N
ATB,,Atlantair Ltd.,STARLITE,Canada,N
ATC,TC,Air Tanzania,TANZANIA,Tanzania,Y
ATD,,Aerotours Dominicana,AEROTOURS,Dominican Republic,N
ATE,,Atlantis Transportation Services,Ltd.,ATLANTIS CANADA,N
ATG,,Aerotrans Airline,BACHYT,Kazakhstan,N
XAC,,Air Charter World,,United States,N
VBW,2J,Air Burkina,BURKINA,Burkina Faso,Y
ATH,,Air Travel Corp.,AIR TRAVEL,United States,N
ATI,HC,Aero-Tropics Air Services,,Australia,N
ATJ,,Air Traffic GmbH,SNOOPY,Germany,N
ATK,,AeroTACA,AEROTACA,Colombia,N
ATL,,Aerocentral,CENTRALMEX,Mexico,N
ATM,FO,Airlines Of Tasmania,AIRTAS,Australia,Y
SPM,PJ,Air Saint Pierre,,France,Y
ATN,8C,Air Transport International,AIR TRANSPORT,United States,N
